ip_address,duration,location_latitude,location_longitude,student,college,year,age,gender,major_one,major_two,athlete,greek,politics,religious,religion,partners,partners_college,relationship
71.232.13.144,21,42.38000488,-71.13289642,Yes,Duke University,Freshman,18,Male,NA,NA,Yes,Yes,Neither,Yes,Judaism,9,6,Yes
152.3.43.22,39,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Male,Statistical Science,Economics,No,Yes,Somewhat Liberal,No,NA,9,7,Yes
152.3.43.28,43,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Interdisciplinary Major,NA,No,No,Somewhat Liberal,No,NA,9,3,Yes
152.3.43.21,54,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Male,Mechanical Engineering,NA,No,Yes,"Somewhat Conservative,Neither",No,NA,9,3,No
107.77.232.67,94,37.75100708,-97.8219986,Yes,Duke University,Junior,20,Male,Economics,NA,Yes,No,Somewhat Conservative,Yes,Judaism,9,4,No
152.3.43.188,97,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Female,Psychology ,NA,No,No,Very Liberal,No,NA,9,7,No
152.3.43.2,100,35.9954071,-78.90190125,Yes,Duke University,Freshman,18,Male,Cultural Anthropology,NA,No,No,Very Liberal,No,NA,9,6,Yes
152.3.43.20,108,35.9954071,-78.90190125,Yes,Duke University,Sophomore,NA,Male,Economics,NA,No,No,Somewhat Liberal,Yes,Buddhism,9,8,No
152.3.43.21,36,35.9954071,-78.90190125,Yes,Duke University,Senior,22,Male,Public Policy Studies,NA,No,No,Somewhat Liberal,No,NA,8,8,No
152.3.43.188,39,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Male,Sociology,NA,Yes,No,Somewhat Conservative,No,NA,8,2,Yes
152.3.43.18,45,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Female,Biomedical Engineering,NA,No,Yes,Very Liberal,No,NA,8,8,No
152.3.43.188,45,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Male,Public Policy Studies,NA,No,Yes,Somewhat Conservative,No,NA,8,7,No
107.77.232.212,54,33.52070618,-86.80249786,Yes,Duke University,Sophomore,20,Male,Public Policy Studies,NA,No,Yes,Somewhat Liberal,No,NA,8,6,Yes
152.3.43.20,59,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Male,Economics ,NA,No,Yes,Very Conservative,No,NA,8,6,No
198.86.29.23,64,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Female,Engineering,NA,No,Yes,Neither,Yes,Christianity,8,8,Yes
152.3.43.2,79,35.9954071,-78.90190125,Yes,Duke University,Freshman,19,Female,Psychology,NA,No,No,Very Liberal,No,NA,8,2,No
152.3.43.20,97,35.9954071,-78.90190125,Yes,Duke University,Senior,22,Male,Biology,NA,No,No,Somewhat Conservative,Yes,Islam,8,6,No
152.3.43.23,99,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Female,Neuroscience,NA,No,No,Very Liberal,No,NA,8,7,No
152.3.43.21,202,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Male,Electrical & Computer Engineering,Computer Science,No,No,Neither,No,NA,8,6,Yes
152.3.43.20,330,35.9954071,-78.90190125,Yes,Duke University,NA,22,Male,Computer Science,NA,No,No,Somewhat Liberal,No,NA,8,8,No
174.194.22.154,6389,35.21800232,-80.7858963,Yes,Duke University,Senior,22,Male,Statistical Science ,NA,No,No,Somewhat Liberal,No,NA,8,7,Yes
152.3.43.20,44,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Male,Computer Science,NA,No,Yes,Somewhat Liberal,No,NA,7,2,Yes
152.3.43.2,51,35.9954071,-78.90190125,Yes,Duke University,Freshman,19,Female,Neuroscience,NA,No,No,Very Liberal,No,NA,7,1,Yes
152.3.43.188,53,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,Electrical & Computer Engineering,Computer Science,No,No,Somewhat Liberal,No,NA,7,6,No
12.176.124.251,70,34.08630371,-118.4896011,Yes,Duke University,Sophomore,20,Male,Economics,NA,No,Yes,Somewhat Liberal,No,NA,7,6,No
152.3.43.20,89,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Female,Economics,Political Science,No,Yes,Very Liberal,No,NA,7,6,Yes
24.163.85.36,105,36.0355072,-78.8391037,Yes,Duke University,Senior,21,Female,Public Policy Studies,NA,No,No,Somewhat Liberal,No,NA,7,6,No
152.3.43.22,35,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Male,Biomedical Engineering,Electrical & Computer Engineering,No,Yes,Somewhat Conservative,Yes,Christianity,6,5,No
152.3.43.28,39,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,Public Policy Studies,NA,No,Yes,Very Liberal,No,NA,6,3,Yes
152.3.43.20,58,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Female,Public Policy Studies,NA,No,Yes,"Somewhat Liberal,Very Liberal",No,NA,6,5,No
152.3.43.21,75,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,Computer Science,NA,No,Yes,Somewhat Liberal,No,NA,6,6,Yes
152.3.43.23,79,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Female,Psychology ,NA,No,Yes,Very Liberal,No,NA,6,5,Yes
198.86.29.23,82,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Female,Environmental Science & Policy ,NA,No,No,Very Liberal,No,NA,6,6,Yes
152.3.43.2,88,35.9954071,-78.90190125,Yes,Duke University,Freshman,18,Female,Public Policy Studies,Chemistry,No,No,Very Liberal,No,NA,6,2,No
198.86.29.23,95,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,Public Policy Studies,NA,No,Yes,Very Liberal,Yes,Islam,6,5,No
174.194.28.101,136,34.11920166,-80.86299896,Yes,Duke University,Junior,21,Female,Statistical Science,NA,No,No,Very Liberal,No,NA,6,3,Yes
152.3.43.23,29,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Male,Economics,NA,No,Yes,Somewhat Conservative,No,NA,5,3,Yes
152.3.43.28,37,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Public Policy Studies,NA,No,Yes,Very Liberal,No,NA,5,5,No
174.109.66.192,38,36.03779602,-78.9858017,Yes,Duke University,Senior,22,Male,Public Policy Studies,NA,No,Yes,Somewhat Conservative,No,NA,5,4,No
198.86.29.23,41,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Male,Computer Science,NA,No,No,Somewhat Liberal,No,NA,5,5,No
152.3.43.23,44,35.9954071,-78.90190125,Yes,Duke University,Senior,22,Female,Visual Arts,NA,No,No,"Somewhat Conservative,Somewhat Liberal",No,NA,5,5,No
152.3.43.2,45,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Visual & Media Studies,NA,No,No,Very Liberal,No,NA,5,3,No
107.77.237.234,46,37.75100708,-97.8219986,Yes,Duke University,Sophomore,19,Female,Economics,NA,No,Yes,Somewhat Liberal,No,NA,5,4,No
152.3.43.3,50,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Male,Computer Science,NA,Yes,Yes,Very Liberal,No,NA,5,3,Yes
152.3.43.21,53,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Male,Biomedical Engineering,NA,No,Yes,Somewhat Conservative,No,NA,5,3,Yes
152.3.43.2,53,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Female,Environmental Science & Policy,NA,No,Yes,Somewhat Liberal,No,NA,5,4,No
152.3.43.6,54,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Male,Philosophy,NA,No,No,Somewhat Liberal,No,NA,5,4,Yes
152.3.34.67,54,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Male,Economics,NA,No,Yes,Somewhat Liberal,No,NA,5,3,No
152.3.43.230,54,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,Political Science,NA,No,Yes,Somewhat Liberal,No,NA,5,3,No
152.3.43.22,56,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Male,Computer Science,NA,No,No,Somewhat Liberal,No,NA,5,2,Yes
107.77.232.24,56,37.75100708,-97.8219986,Yes,Duke University,Freshman,18,Male,Electrical & Computer Engineering,NA,No,No,Very Liberal,No,NA,5,2,Yes
107.77.235.6,62,37.75100708,-97.8219986,Yes,Duke University,Sophomore,19,Female,Statistical Science ,NA,No,Yes,Somewhat Liberal,Yes,Christianity,5,3,Yes
152.3.43.36,66,35.9954071,-78.90190125,Yes,Duke University,Senior,23,Female,Biology,NA,No,No,Very Liberal,Yes,Judaism,5,4,Yes
152.3.43.21,100,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Male,Public Policy Studies,NA,No,No,Very Liberal,No,NA,5,4,No
174.109.79.181,215,36.03779602,-78.9858017,Yes,Duke University,Senior,22,Female,History ,NA,No,Yes,Somewhat Conservative,Yes,Christianity,5,5,No
152.3.43.22,38,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,Computer Science,NA,No,Yes,Somewhat Liberal,No,NA,4,3,No
152.3.43.21,39,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,Neuroscience,NA,No,No,Somewhat Liberal,No,NA,4,2,No
198.86.29.23,39,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Male,Biomedical Engineering,NA,No,No,Somewhat Liberal,No,NA,4,1,Yes
174.193.137.102,39,36.01620483,-80.04340363,Yes,Duke University,Freshman,18,Female,Mathematics ,NA,No,No,Very Liberal,No,NA,4,1,Yes
198.86.29.23,39,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Female,Environmental Engineering,NA,No,Yes,Somewhat Liberal,Yes,Christianity,4,4,No
198.86.29.23,39,35.9954071,-78.90190125,Yes,Duke University,Freshman,18,Female,Civil Engineering,NA,No,No,Very Liberal,No,NA,4,4,No
98.26.46.170,41,36.0355072,-78.8391037,Yes,Duke University,Senior,22,Female,Biomedical Engineering,NA,No,Yes,Neither,Yes,Christianity,4,2,Yes
152.3.43.20,43,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Male,Biology,NA,No,No,Neither,Yes,Islam,4,1,No
152.3.43.22,46,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Economics,NA,Yes,No,Neither,Yes,Christianity,4,2,Yes
152.3.43.2,47,35.9954071,-78.90190125,Yes,Duke University,Freshman,18,Female,Mechanical Engineering,NA,No,No,Very Liberal,No,NA,4,3,No
174.194.4.34,49,35.32839966,-80.74590302,Yes,Duke University,Sophomore,20,Male,Biology,Sociology,No,No,Somewhat Liberal,No,NA,4,2,Yes
152.3.43.188,52,35.9954071,-78.90190125,Yes,Duke University,Senior,21,Female,Public Policy Studies,NA,Yes,Yes,Somewhat Liberal,Yes,Christianity,4,3,Yes
152.3.43.21,52,35.9954071,-78.90190125,Yes,Duke University,Sophomore,NA,Male,NA,NA,No,Yes,Somewhat Liberal,No,NA,4,2,No
107.77.233.57,56,33.74899292,-84.38800049,Yes,Duke University,Sophomore,19,Female,Neuroscience,NA,No,No,Somewhat Liberal,No,NA,4,2,No
152.3.43.2,56,35.9954071,-78.90190125,Yes,Duke University,Freshman,18,Male,Economics,Computer Science,No,Yes,Very Liberal,No,NA,4,3,No
99.203.20.23,57,35.18330383,-80.64230347,Yes,Duke University,Senior,21,Female,Physics ,NA,No,No,Somewhat Liberal,Yes,Christianity,4,4,Yes
152.3.43.188,59,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,Economics,Global Health,No,Yes,Very Liberal,No,NA,4,4,No
152.3.43.28,64,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Male,Economics,Psychology,No,No,Somewhat Conservative,No,NA,4,1,No
152.3.43.20,71,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,Political Science,NA,No,No,Very Liberal,Yes,Christianity,4,3,Yes
198.86.29.17,72,35.9954071,-78.90190125,Yes,Duke University,NA,25,Female,NA,NA,No,No,Very Liberal,No,NA,4,4,Yes
152.3.43.2,80,35.9954071,-78.90190125,Yes,Duke University,Freshman,18,Male,Biology,NA,No,No,Very Liberal,No,NA,4,2,Yes
152.3.43.2,92,35.9954071,-78.90190125,Yes,Duke University,Freshman,19,Female,Biology,NA,No,Yes,Somewhat Conservative,Yes,Christianity,4,2,No
152.3.43.23,106,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Female,Environmental Science & Policy,NA,No,No,Somewhat Liberal,No,NA,4,3,No
152.3.43.23,136,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Mechanical Engineering,NA,No,No,Very Liberal,No,NA,4,3,Yes
152.3.43.2,28,35.9954071,-78.90190125,Yes,Duke University,Junior,NA,Female,NA,NA,No,Yes,Somewhat Liberal,No,NA,3,1,Yes
152.3.43.21,31,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Male,Computer Science,NA,No,No,Somewhat Conservative,No,NA,3,3,Yes
198.86.29.23,37,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Computer Science,NA,No,Yes,Somewhat Liberal,No,NA,3,1,Yes
152.3.43.188,40,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Biology,NA,No,Yes,Very Liberal,Yes,Christianity,3,3,Yes
152.3.43.230,40,35.9954071,-78.90190125,Yes,Duke University,Senior,22,Female,Neuroscience,NA,No,No,Very Liberal,No,NA,3,3,Yes
107.77.232.149,42,33.52070618,-86.80249786,Yes,Duke University,Senior,21,Male,Computer Science,NA,No,No,Very Liberal,No,NA,3,2,Yes
152.3.43.22,42,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Electrical & Computer Engineering,Computer Science,No,No,Very Liberal,No,NA,3,3,Yes
152.3.43.2,42,35.9954071,-78.90190125,Yes,Duke University,Freshman,20,Female,Undeclared,NA,No,No,Very Liberal,No,NA,3,1,No
107.77.237.185,43,37.75100708,-97.8219986,Yes,Duke University,Sophomore,19,Female,Public Policy Studies,NA,No,Yes,Somewhat Liberal,Yes,Hinduism,3,NA,NA
174.193.134.109,47,35.17520142,-79.38339996,Yes,Duke University,Sophomore,19,Male,NA,NA,No,Yes,Somewhat Conservative,No,NA,3,1,Yes
174.109.79.43,49,36.0355072,-78.8391037,Yes,Duke University,Senior,22,Female,Neuroscience,NA,No,No,Somewhat Liberal,No,NA,3,1,Yes
174.99.46.245,50,35.94999695,-78.96160126,Yes,Duke University,Senior,21,Female,Nursing,NA,No,No,Somewhat Liberal,No,NA,3,2,Yes
152.3.43.20,53,35.9954071,-78.90190125,Yes,Duke University,Freshman,19,Male,Neuroscience,NA,No,Yes,Very Liberal,No,NA,3,3,Yes
152.3.43.2,56,35.9954071,-78.90190125,Yes,Duke University,Freshman,19,Female,Computer Science,NA,No,Yes,Neither,No,NA,3,2,No
152.3.71.172,58,35.9954071,-78.90190125,Yes,Duke University,Senior,22,Male,Computer Science,NA,No,Yes,Very Liberal,No,NA,3,2,Yes
198.86.29.23,59,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Mathematics,NA,No,No,Neither,No,NA,3,2,Yes
152.3.43.21,62,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Electrical & Computer Engineering,Biomedical Engineering,No,No,Very Liberal,Yes,Christianity,3,1,No
174.109.127.9,66,36.0355072,-78.8391037,Yes,Duke University,Senior,26,Female,Nursing,NA,No,No,Somewhat Conservative,No,NA,3,3,Yes
152.3.43.28,68,35.9954071,-78.90190125,Yes,Duke University,Freshman,19,Female,Undeclared,NA,No,Yes,Neither,No,NA,3,0,No
152.3.43.28,83,35.9954071,-78.90190125,Yes,Duke University,Senior,21,Female,NA,NA,No,No,Somewhat Liberal,No,NA,3,2,Yes
152.3.43.6,94,35.9954071,-78.90190125,Yes,Duke University,Freshman,19,Female,Biomedical Engineering,NA,No,No,Very Liberal,No,NA,3,3,No
152.3.43.23,94,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Public Policy Studies,NA,No,Yes,Very Liberal,No,NA,3,3,No
24.163.88.107,217,36.03779602,-78.9858017,Yes,Duke University,Senior,21,Female,Global Health,NA,No,Yes,Somewhat Liberal,No,NA,3,2,Yes
152.3.43.21,27,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Female,NA,NA,No,No,Neither,No,NA,2,2,No
152.3.43.21,27,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Female,Economics,NA,No,No,Somewhat Liberal,Yes,Christianity,2,2,Yes
152.3.43.21,28,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Male,Electrical & Computer Engineering,Computer Science,No,No,Somewhat Liberal,No,NA,2,2,No
174.109.75.151,31,36.0355072,-78.8391037,Yes,Duke University,Senior,21,Male,Mechanical Engineering,NA,No,Yes,Somewhat Liberal,No,NA,2,1,Yes
152.3.43.28,31,35.9954071,-78.90190125,Yes,Duke University,Senior,22,Female,Statistical Science,NA,No,No,Very Liberal,No,NA,2,1,No
152.3.43.2,32,35.9954071,-78.90190125,Yes,Duke University,Freshman,19,Male,History,NA,No,No,Very Liberal,Yes,Christianity,2,1,Yes
152.3.43.28,34,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Male,Computer Science,NA,No,No,Somewhat Liberal,No,NA,2,2,Yes
152.3.43.23,35,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Female,Biology,NA,No,No,"Somewhat Liberal,Very Liberal",No,NA,2,1,Yes
152.3.43.2,37,35.9954071,-78.90190125,Yes,Duke University,Freshman,19,Female,Public Policy Studies,NA,No,Yes,Somewhat Liberal,No,NA,2,2,Yes
152.3.43.20,38,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,English,NA,No,No,Very Liberal,No,NA,2,2,Yes
152.3.43.22,38,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Female,Evolutionary Anthropology,NA,No,No,Very Liberal,Yes,Christianity,2,2,No
152.3.43.28,38,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Female,Biology,NA,No,Yes,Somewhat Liberal,No,NA,2,2,Yes
152.3.43.23,40,35.9954071,-78.90190125,Yes,Duke University,Senior,22,Female,NA,NA,No,No,Somewhat Liberal,No,NA,2,2,No
98.26.41.254,40,36.09240723,-78.90100098,Yes,Duke University,Senior,22,Female,Psychology ,NA,No,Yes,Somewhat Conservative,Yes,Christianity,2,2,Yes
107.77.234.73,41,37.75100708,-97.8219986,Yes,Duke University,Sophomore,20,Female,Computer Science,NA,No,Yes,Very Liberal,No,NA,2,1,Yes
152.3.43.21,42,35.9954071,-78.90190125,Yes,Duke University,Junior,20,Female,Environmental Science,NA,No,Yes,Very Liberal,No,NA,2,2,Yes
152.3.43.2,42,35.9954071,-78.90190125,Yes,Duke University,Freshman,19,Female,Political Science,NA,No,No,Very Liberal,Yes,Christianity,2,2,No
152.3.43.22,44,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Female,Computer Science,NA,No,No,Very Liberal,No,NA,2,2,No
152.3.43.2,45,35.9954071,-78.90190125,Yes,Duke University,Freshman,18,Female,Psychology,Computer Science,No,Yes,Somewhat Liberal,Yes,Hinduism,2,2,Yes
107.77.237.194,48,37.75100708,-97.8219986,Yes,Duke University,Sophomore,20,Male,Computer Science,NA,No,No,Somewhat Liberal,No,NA,2,2,No
152.3.43.22,49,35.9954071,-78.90190125,Yes,Duke University,Sophomore,20,Female,Computer Science,NA,No,No,Very Liberal,No,NA,2,1,No
188.37.129.181,49,38.71670532,-9.133300781,Yes,Duke University,Junior,20,Male,Computer Science,NA,No,No,Somewhat Liberal,Yes,Christianity,2,1,Yes
152.3.43.22,49,35.9954071,-78.90190125,Yes,Duke University,Sophomore,19,Male,Economics,NA,No,No,Somewhat Liberal,No,NA,2,2,No
107.77.236.90,51,37.75100708,-97.8219986,Yes,Duke University,Sophomore,19,Female,Biology,NA,No,No,Somewhat Liberal,Yes,Christianity,2,1,Yes
152.3.43.2,52,35.9954071,-78.90190125,Yes,Duke University,Freshman,18,Female,Mechanical Engineering,NA,No,No,Somewhat Conservative,No,NA,2,0,Yes
152.3.43.2,52,35.9954071,-78.90190125,Yes,Duke University,Junior,21,Female,Chemistry,NA,No,No,Somewhat Liberal,No,NA,2,2,Yes
